,,status_cat,status_cat,status_cat
Arusha,Ngara,0,0,0
Arusha,Ngorongoro,109,28,64
Arusha,Njombe,0,0,0
Arusha,Nkasi,0,0,0
Arusha,Nyamagana,0,0,0
Arusha,Nzega,0,0,0
Arusha,Pangani,0,0,0
Arusha,Rombo,0,0,0
Arusha,Rorya,0,0,0
Arusha,Ruangwa,0,0,0
Arusha,Rufiji,0,0,0
Arusha,Rungwe,0,0,0
Arusha,Same,0,0,0
Arusha,Sengerema,0,0,0
Arusha,Serengeti,0,0,0
Arusha,Shinyanga Rural,0,0,0
Arusha,Shinyanga Urban,0,0,0
Arusha,Siha,0,0,0
Arusha,Sikonge,0,0,0
Arusha,Simanjiro,0,0,0
Arusha,Singida Rural,0,0,0
Arusha,Singida Urban,0,0,0
Arusha,Songea Rural,0,0,0
Arusha,Songea Urban,0,0,0
Arusha,Sumbawanga Rural,0,0,0
Arusha,Sumbawanga Urban,0,0,0
Arusha,Tabora Urban,0,0,0
Arusha,Tandahimba,0,0,0
Arusha,Tanga,0,0,0
Arusha,Tarime,0,0,0
Arusha,Temeke,0,0,0
Arusha,Tunduru,0,0,0
Arusha,Ukerewe,0,0,0
Arusha,Ulanga,0,0,0
Arusha,Urambo,0,0,0
Arusha,Uyui,0,0,0
Dar es Salaam,Arusha Rural,0,0,0
Dar es Salaam,Arusha Urban,0,0,0
Dar es Salaam,Babati,0,0,0
Dar es Salaam,Bagamoyo,0,0,0
Dar es Salaam,Bahi,0,0,0
Dar es Salaam,Bariadi,0,0,0
Dar es Salaam,Biharamulo,0,0,0
Dar es Salaam,Bukoba Rural,0,0,0
Dar es Salaam,Bukoba Urban,0,0,0
Dar es Salaam,Bukombe,0,0,0
Dar es Salaam,Bunda,0,0,0
Dar es Salaam,Chamwino,0,0,0
Dar es Salaam,Chato,0,0,0
Dar es Salaam,Chunya,0,0,0
Dar es Salaam,Dodoma Urban,0,0,0
Dar es Salaam,Geita,0,0,0
Dar es Salaam,Hai,0,0,0
Dar es Salaam,Hanang,0,0,0
Dar es Salaam,Handeni,0,0,0
Dar es Salaam,Igunga,0,0,0
Dar es Salaam,Ilala,343,0,154
Dar es Salaam,Ileje,0,0,0
Dar es Salaam,Ilemela,0,0,0
Dar es Salaam,Iramba,0,0,0
Dar es Salaam,Iringa Rural,0,0,0
Dar es Salaam,Kahama,0,0,0
Dar es Salaam,Karagwe,0,0,0
Dar es Salaam,Karatu,0,0,0
Dar es Salaam,Kasulu,0,0,0
Dar es Salaam,Kibaha,0,0,0
Dar es Salaam,Kibondo,0,0,0
Dar es Salaam,Kigoma Rural,0,0,0
Dar es Salaam,Kigoma Urban,0,0,0
Dar es Salaam,Kilindi,0,0,0
Dar es Salaam,Kilolo,0,0,0
Dar es Salaam,Kilombero,0,0,0
Dar es Salaam,Kilosa,0,0,0
Dar es Salaam,Kilwa,0,0,0
Dar es Salaam,Kinondoni,42,0,51
Dar es Salaam,Kisarawe,0,0,0
Dar es Salaam,Kishapu,0,0,0
Dar es Salaam,Kiteto,0,0,0
Dar es Salaam,Kondoa,0,0,0
Dar es Salaam,Kongwa,0,0,0
Dar es Salaam,Korogwe,0,0,0
Dar es Salaam,Kwimba,0,0,0
Dar es Salaam,Kyela,0,0,0
Dar es Salaam,Lindi Rural,0,0,0
Dar es Salaam,Lindi Urban,0,0,0
Dar es Salaam,Liwale,0,0,0
Dar es Salaam,Longido,0,0,0
Dar es Salaam,Ludewa,0,0,0
Dar es Salaam,Lushoto,0,0,0
Dar es Salaam,Mafia,0,0,0
Dar es Salaam,Magu,0,0,0
Dar es Salaam,Makete,0,0,0
Dar es Salaam,Manyoni,0,0,0
Dar es Salaam,Masasi,0,0,0
Dar es Salaam,Maswa,0,0,0
Dar es Salaam,Mbarali,0,0,0
Dar es Salaam,Mbeya Rural,0,0,0
Dar es Salaam,Mbinga,0,0,0
Dar es Salaam,Mbozi,0,0,0
Dar es Salaam,Mbulu,0,0,0
Dar es Salaam,Meatu,0,0,0
Dar es Salaam,Meru,0,0,0
Dar es Salaam,Misenyi,0,0,0
Dar es Salaam,Missungwi,0,0,0
Dar es Salaam,Mkinga,0,0,0
Dar es Salaam,Mkuranga,0,0,0
Dar es Salaam,Monduli,0,0,0
Dar es Salaam,Morogoro Rural,0,0,0
Dar es Salaam,Morogoro Urban,0,0,0
Dar es Salaam,Moshi Rural,0,0,0
Dar es Salaam,Moshi Urban,0,0,0
Dar es Salaam,Mpanda,0,0,0
Dar es Salaam,Mpwapwa,0,0,0
Dar es Salaam,Mtwara Rural,0,0,0
Dar es Salaam,Mtwara Urban,0,0,0
Dar es Salaam,Mufindi,0,0,0
Dar es Salaam,Muheza,0,0,0
Dar es Salaam,Muleba,0,0,0
Dar es Salaam,Musoma Rural,0,0,0
Dar es Salaam,Mvomero,0,0,0
Dar es Salaam,Mwanga,0,0,0
Dar es Salaam,Nachingwea,0,0,0
Dar es Salaam,Namtumbo,0,0,0
Dar es Salaam,Nanyumbu,0,0,0
Dar es Salaam,Newala,0,0,0
Dar es Salaam,Ngara,0,0,0
Dar es Salaam,Ngorongoro,0,0,0
Dar es Salaam,Njombe,0,0,0
Dar es Salaam,Nkasi,0,0,0
Dar es Salaam,Nyamagana,0,0,0
Dar es Salaam,Nzega,0,0,0
Dar es Salaam,Pangani,0,0,0
Dar es Salaam,Rombo,0,0,0
Dar es Salaam,Rorya,0,0,0
Dar es Salaam,Ruangwa,0,0,0
Dar es Salaam,Rufiji,0,0,0
Dar es Salaam,Rungwe,0,0,0
Dar es Salaam,Same,0,0,0
Dar es Salaam,Sengerema,0,0,0
Dar es Salaam,Serengeti,0,0,0
Dar es Salaam,Shinyanga Rural,0,0,0
Dar es Salaam,Shinyanga Urban,0,0,0
Dar es Salaam,Siha,0,0,0
Dar es Salaam,Sikonge,0,0,0
Dar es Salaam,Simanjiro,0,0,0
Dar es Salaam,Singida Rural,0,0,0
Dar es Salaam,Singida Urban,0,0,0
Dar es Salaam,Songea Rural,0,0,0
Dar es Salaam,Songea Urban,0,0,0
Dar es Salaam,Sumbawanga Rural,0,0,0
Dar es Salaam,Sumbawanga Urban,0,0,0
Dar es Salaam,Tabora Urban,0,0,0
Dar es Salaam,Tandahimba,0,0,0
Dar es Salaam,Tanga,0,0,0
Dar es Salaam,Tarime,0,0,0
Dar es Salaam,Temeke,76,3,136
Dar es Salaam,Tunduru,0,0,0
Dar es Salaam,Ukerewe,0,0,0
Dar es Salaam,Ulanga,0,0,0
Dar es Salaam,Urambo,0,0,0
Dar es Salaam,Uyui,0,0,0
Dodoma,Arusha Rural,0,0,0
Dodoma,Arusha Urban,0,0,0
Dodoma,Babati,0,0,0
Dodoma,Bagamoyo,0,0,0
Dodoma,Bahi,158,0,66
Dodoma,Bariadi,0,0,0
Dodoma,Biharamulo,0,0,0
Dodoma,Bukoba Rural,0,0,0
Dodoma,Bukoba Urban,0,0,0
Dodoma,Bukombe,0,0,0
Dodoma,Bunda,0,0,0
Dodoma,Chamwino,144,29,174
Dodoma,Chato,0,0,0
Dodoma,Chunya,0,0,0
Dodoma,Dodoma Urban,88,36,234
Dodoma,Geita,0,0,0
Dodoma,Hai,0,0,0
Dodoma,Hanang,0,0,0
Dodoma,Handeni,0,0,0
Dodoma,Igunga,0,0,0
Dodoma,Ilala,0,0,0
Dodoma,Ileje,0,0,0
Dodoma,Ilemela,0,0,0
Dodoma,Iramba,0,0,0
Dodoma,Iringa Rural,0,0,0
Dodoma,Kahama,0,0,0
Dodoma,Karagwe,0,0,0
Dodoma,Karatu,0,0,0
Dodoma,Kasulu,0,0,0
Dodoma,Kibaha,0,0,0
Dodoma,Kibondo,0,0,0
Dodoma,Kigoma Rural,0,0,0
Dodoma,Kigoma Urban,0,0,0
Dodoma,Kilindi,0,0,0
Dodoma,Kilolo,0,0,0
Dodoma,Kilombero,0,0,0
Dodoma,Kilosa,0,0,0
Dodoma,Kilwa,0,0,0
Dodoma,Kinondoni,0,0,0
Dodoma,Kisarawe,0,0,0
Dodoma,Kishapu,0,0,0
Dodoma,Kiteto,0,0,0
Dodoma,Kondoa,216,106,201
Dodoma,Kongwa,203,0,158
Dodoma,Korogwe,0,0,0
Dodoma,Kwimba,0,0,0
Dodoma,Kyela,0,0,0
Dodoma,Lindi Rural,0,0,0
Dodoma,Lindi Urban,0,0,0
Dodoma,Liwale,0,0,0
Dodoma,Longido,0,0,0
Dodoma,Ludewa,0,0,0
Dodoma,Lushoto,0,0,0
Dodoma,Mafia,0,0,0
Dodoma,Magu,0,0,0
Dodoma,Makete,0,0,0
Dodoma,Manyoni,0,0,0
Dodoma,Masasi,0,0,0
Dodoma,Maswa,0,0,0
Dodoma,Mbarali,0,0,0
Dodoma,Mbeya Rural,0,0,0
Dodoma,Mbinga,0,0,0
Dodoma,Mbozi,0,0,0
Dodoma,Mbulu,0,0,0
Dodoma,Meatu,0,0,0
Dodoma,Meru,0,0,0
Dodoma,Misenyi,0,0,0
Dodoma,Missungwi,0,0,0
Dodoma,Mkinga,0,0,0
Dodoma,Mkuranga,0,0,0
Dodoma,Monduli,0,0,0
Dodoma,Morogoro Rural,0,0,0
Dodoma,Morogoro Urban,0,0,0
Dodoma,Moshi Rural,0,0,0
Dodoma,Moshi Urban,0,0,0
Dodoma,Mpanda,0,0,0
Dodoma,Mpwapwa,200,38,150
Dodoma,Mtwara Rural,0,0,0
Dodoma,Mtwara Urban,0,0,0
Dodoma,Mufindi,0,0,0
Dodoma,Muheza,0,0,0
Dodoma,Muleba,0,0,0
Dodoma,Musoma Rural,0,0,0
Dodoma,Mvomero,0,0,0
Dodoma,Mwanga,0,0,0
Dodoma,Nachingwea,0,0,0
Dodoma,Namtumbo,0,0,0
Dodoma,Nanyumbu,0,0,0
Dodoma,Newala,0,0,0
Dodoma,Ngara,0,0,0
Dodoma,Ngorongoro,0,0,0
Dodoma,Njombe,0,0,0
Dodoma,Nkasi,0,0,0
Dodoma,Nyamagana,0,0,0
Dodoma,Nzega,0,0,0
Dodoma,Pangani,0,0,0
Dodoma,Rombo,0,0,0
Dodoma,Rorya,0,0,0
Dodoma,Ruangwa,0,0,0
Dodoma,Rufiji,0,0,0
Dodoma,Rungwe,0,0,0
Dodoma,Same,0,0,0
Dodoma,Sengerema,0,0,0
Dodoma,Serengeti,0,0,0
Dodoma,Shinyanga Rural,0,0,0
Dodoma,Shinyanga Urban,0,0,0
Dodoma,Siha,0,0,0
Dodoma,Sikonge,0,0,0
Dodoma,Simanjiro,0,0,0
Dodoma,Singida Rural,0,0,0
Dodoma,Singida Urban,0,0,0
Dodoma,Songea Rural,0,0,0
Dodoma,Songea Urban,0,0,0
Dodoma,Sumbawanga Rural,0,0,0
Dodoma,Sumbawanga Urban,0,0,0
Dodoma,Tabora Urban,0,0,0
Dodoma,Tandahimba,0,0,0
Dodoma,Tanga,0,0,0
Dodoma,Tarime,0,0,0
Dodoma,Temeke,0,0,0
Dodoma,Tunduru,0,0,0
Dodoma,Ukerewe,0,0,0
Dodoma,Ulanga,0,0,0
Dodoma,Urambo,0,0,0
Dodoma,Uyui,0,0,0
Iringa,Arusha Rural,0,0,0
Iringa,Arusha Urban,0,0,0
Iringa,Babati,0,0,0
Iringa,Bagamoyo,0,0,0
Iringa,Bahi,0,0,0
Iringa,Bariadi,0,0,0
Iringa,Biharamulo,0,0,0
Iringa,Bukoba Rural,0,0,0
Iringa,Bukoba Urban,0,0,0
Iringa,Bukombe,0,0,0
Iringa,Bunda,0,0,0
Iringa,Chamwino,0,0,0
Iringa,Chato,0,0,0
Iringa,Chunya,0,0,0
Iringa,Dodoma Urban,0,0,0
Iringa,Geita,0,0,0
Iringa,Hai,0,0,0
Iringa,Hanang,0,0,0
Iringa,Handeni,0,0,0
Iringa,Igunga,0,0,0
Iringa,Ilala,0,0,0
Iringa,Ileje,0,0,0
Iringa,Ilemela,0,0,0
Iringa,Iramba,0,0,0
Iringa,Iringa Rural,547,10,171
Iringa,Kahama,0,0,0
Iringa,Karagwe,0,0,0
Iringa,Karatu,0,0,0
Iringa,Kasulu,0,0,0
Iringa,Kibaha,0,0,0
Iringa,Kibondo,0,0,0
Iringa,Kigoma Rural,0,0,0
Iringa,Kigoma Urban,0,0,0
Iringa,Kilindi,0,0,0
Iringa,Kilolo,218,2,129
Iringa,Kilombero,0,0,0
Iringa,Kilosa,0,0,0
Iringa,Kilwa,0,0,0
Iringa,Kinondoni,0,0,0
Iringa,Kisarawe,0,0,0
Iringa,Kishapu,0,0,0
Iringa,Kiteto,0,0,0
Iringa,Kondoa,0,0,0
Iringa,Kongwa,0,0,0
Iringa,Korogwe,0,0,0
Iringa,Kwimba,0,0,0
Iringa,Kyela,0,0,0
Iringa,Lindi Rural,0,0,0
Iringa,Lindi Urban,0,0,0
Iringa,Liwale,0,0,0
Iringa,Longido,0,0,0
Iringa,Ludewa,437,11,116
Iringa,Lushoto,0,0,0
Iringa,Mafia,0,0,0
Iringa,Magu,0,0,0
Iringa,Makete,564,0,66
Iringa,Manyoni,0,0,0
Iringa,Masasi,0,0,0
Iringa,Maswa,0,0,0
Iringa,Mbarali,0,0,0
Iringa,Mbeya Rural,0,0,0
Iringa,Mbinga,0,0,0
Iringa,Mbozi,0,0,0
Iringa,Mbulu,0,0,0
Iringa,Meatu,0,0,0
Iringa,Meru,0,0,0
Iringa,Misenyi,0,0,0
Iringa,Missungwi,0,0,0
Iringa,Mkinga,0,0,0
Iringa,Mkuranga,0,0,0
Iringa,Monduli,0,0,0
Iringa,Morogoro Rural,0,0,0
Iringa,Morogoro Urban,0,0,0
Iringa,Moshi Rural,0,0,0
Iringa,Moshi Urban,0,0,0
Iringa,Mpanda,0,0,0
Iringa,Mpwapwa,0,0,0
Iringa,Mtwara Rural,0,0,0
Iringa,Mtwara Urban,0,0,0
Iringa,Mufindi,368,6,146
Iringa,Muheza,0,0,0
Iringa,Muleba,0,0,0
Iringa,Musoma Rural,0,0,0
Iringa,Mvomero,0,0,0
Iringa,Mwanga,0,0,0
Iringa,Nachingwea,0,0,0
Iringa,Namtumbo,0,0,0
Iringa,Nanyumbu,0,0,0
Iringa,Newala,0,0,0
Iringa,Ngara,0,0,0
Iringa,Ngorongoro,0,0,0
Iringa,Njombe,2007,94,402
Iringa,Nkasi,0,0,0
Iringa,Nyamagana,0,0,0
Iringa,Nzega,0,0,0
Iringa,Pangani,0,0,0
Iringa,Rombo,0,0,0
Iringa,Rorya,0,0,0
Iringa,Ruangwa,0,0,0
Iringa,Rufiji,0,0,0
Iringa,Rungwe,0,0,0
Iringa,Same,0,0,0
Iringa,Sengerema,0,0,0
Iringa,Serengeti,0,0,0
Iringa,Shinyanga Rural,0,0,0
Iringa,Shinyanga Urban,0,0,0
Iringa,Siha,0,0,0
Iringa,Sikonge,0,0,0
Iringa,Simanjiro,0,0,0
Iringa,Singida Rural,0,0,0
Iringa,Singida Urban,0,0,0
Iringa,Songea Rural,0,0,0
Iringa,Songea Urban,0,0,0
Iringa,Sumbawanga Rural,0,0,0
Iringa,Sumbawanga Urban,0,0,0
Iringa,Tabora Urban,0,0,0
Iringa,Tandahimba,0,0,0
Iringa,Tanga,0,0,0
Iringa,Tarime,0,0,0
Iringa,Temeke,0,0,0
Iringa,Tunduru,0,0,0
Iringa,Ukerewe,0,0,0
Iringa,Ulanga,0,0,0
Iringa,Urambo,0,0,0
Iringa,Uyui,0,0,0
Kagera,Arusha Rural,0,0,0
Kagera,Arusha Urban,0,0,0
Kagera,Babati,0,0,0
Kagera,Bagamoyo,0,0,0
Kagera,Bahi,0,0,0
Kagera,Bariadi,0,0,0
Kagera,Biharamulo,274,21,108
Kagera,Bukoba Rural,224,97,166
Kagera,Bukoba Urban,46,10,32
Kagera,Bukombe,0,0,0
Kagera,Bunda,0,0,0
Kagera,Chamwino,0,0,0
Kagera,Chato,134,3,99
Kagera,Chunya,0,0,0
Kagera,Dodoma Urban,0,0,0
Kagera,Geita,0,0,0
Kagera,Hai,0,0,0
Kagera,Hanang,0,0,0
Kagera,Handeni,0,0,0
Kagera,Igunga,0,0,0
Kagera,Ilala,0,0,0
Kagera,Ileje,0,0,0
Kagera,Ilemela,0,0,0
Kagera,Iramba,0,0,0
Kagera,Iringa Rural,0,0,0
Kagera,Kahama,0,0,0
Kagera,Karagwe,409,45,317
Kagera,Karatu,0,0,0
Kagera,Kasulu,0,0,0
Kagera,Kibaha,0,0,0
Kagera,Kibondo,0,0,0
Kagera,Kigoma Rural,0,0,0
Kagera,Kigoma Urban,0,0,0
Kagera,Kilindi,0,0,0
Kagera,Kilolo,0,0,0
Kagera,Kilombero,0,0,0
Kagera,Kilosa,0,0,0
Kagera,Kilwa,0,0,0
Kagera,Kinondoni,0,0,0
Kagera,Kisarawe,0,0,0
Kagera,Kishapu,0,0,0
Kagera,Kiteto,0,0,0
Kagera,Kondoa,0,0,0
Kagera,Kongwa,0,0,0
Kagera,Korogwe,0,0,0
Kagera,Kwimba,0,0,0
Kagera,Kyela,0,0,0
Kagera,Lindi Rural,0,0,0
Kagera,Lindi Urban,0,0,0
Kagera,Liwale,0,0,0
Kagera,Longido,0,0,0
Kagera,Ludewa,0,0,0
Kagera,Lushoto,0,0,0
Kagera,Mafia,0,0,0
Kagera,Magu,0,0,0
Kagera,Makete,0,0,0
Kagera,Manyoni,0,0,0
Kagera,Masasi,0,0,0
Kagera,Maswa,0,0,0
Kagera,Mbarali,0,0,0
Kagera,Mbeya Rural,0,0,0
Kagera,Mbinga,0,0,0
Kagera,Mbozi,0,0,0
Kagera,Mbulu,0,0,0
Kagera,Meatu,0,0,0
Kagera,Meru,0,0,0
Kagera,Misenyi,84,34,142
Kagera,Missungwi,0,0,0
Kagera,Mkinga,0,0,0
Kagera,Mkuranga,0,0,0
Kagera,Monduli,0,0,0
Kagera,Morogoro Rural,0,0,0
Kagera,Morogoro Urban,0,0,0
Kagera,Moshi Rural,0,0,0
Kagera,Moshi Urban,0,0,0
Kagera,Mpanda,0,0,0
Kagera,Mpwapwa,0,0,0
Kagera,Mtwara Rural,0,0,0
Kagera,Mtwara Urban,0,0,0
Kagera,Mufindi,0,0,0
Kagera,Muheza,0,0,0
Kagera,Muleba,183,9,210
Kagera,Musoma Rural,0,0,0
Kagera,Mvomero,0,0,0
Kagera,Mwanga,0,0,0
Kagera,Nachingwea,0,0,0
Kagera,Namtumbo,0,0,0
Kagera,Nanyumbu,0,0,0
Kagera,Newala,0,0,0
Kagera,Ngara,373,85,211
Kagera,Ngorongoro,0,0,0
Kagera,Njombe,0,0,0
Kagera,Nkasi,0,0,0
Kagera,Nyamagana,0,0,0
Kagera,Nzega,0,0,0
Kagera,Pangani,0,0,0
Kagera,Rombo,0,0,0
Kagera,Rorya,0,0,0
Kagera,Ruangwa,0,0,0
Kagera,Rufiji,0,0,0
Kagera,Rungwe,0,0,0
Kagera,Same,0,0,0
Kagera,Sengerema,0,0,0
Kagera,Serengeti,0,0,0
Kagera,Shinyanga Rural,0,0,0
Kagera,Shinyanga Urban,0,0,0
Kagera,Siha,0,0,0
Kagera,Sikonge,0,0,0
Kagera,Simanjiro,0,0,0
Kagera,Singida Rural,0,0,0
Kagera,Singida Urban,0,0,0
Kagera,Songea Rural,0,0,0
Kagera,Songea Urban,0,0,0
Kagera,Sumbawanga Rural,0,0,0
Kagera,Sumbawanga Urban,0,0,0
Kagera,Tabora Urban,0,0,0
Kagera,Tandahimba,0,0,0
Kagera,Tanga,0,0,0
Kagera,Tarime,0,0,0
Kagera,Temeke,0,0,0
Kagera,Tunduru,0,0,0
Kagera,Ukerewe,0,0,0
Kagera,Ulanga,0,0,0
Kagera,Urambo,0,0,0
Kagera,Uyui,0,0,0
Kigoma,Arusha Rural,0,0,0
Kigoma,Arusha Urban,0,0,0
Kigoma,Babati,0,0,0
Kigoma,Bagamoyo,0,0,0
Kigoma,Bahi,0,0,0
Kigoma,Bariadi,0,0,0
Kigoma,Biharamulo,0,0,0
Kigoma,Bukoba Rural,0,0,0
Kigoma,Bukoba Urban,0,0,0
Kigoma,Bukombe,0,0,0
Kigoma,Bunda,0,0,0
Kigoma,Chamwino,0,0,0
Kigoma,Chato,0,0,0
Kigoma,Chunya,0,0,0
Kigoma,Dodoma Urban,0,0,0
Kigoma,Geita,0,0,0
Kigoma,Hai,0,0,0
Kigoma,Hanang,0,0,0
Kigoma,Handeni,0,0,0
Kigoma,Igunga,0,0,0
Kigoma,Ilala,0,0,0
Kigoma,Ileje,0,0,0
Kigoma,Ilemela,0,0,0
Kigoma,Iramba,0,0,0
Kigoma,Iringa Rural,0,0,0
Kigoma,Kahama,0,0,0
Kigoma,Karagwe,0,0,0
Kigoma,Karatu,0,0,0
Kigoma,Kasulu,611,201,235
Kigoma,Kibaha,0,0,0
Kigoma,Kibondo,452,67,355
Kigoma,Kigoma Rural,285,327,212
Kigoma,Kigoma Urban,15,8,48
Kigoma,Kilindi,0,0,0
Kigoma,Kilolo,0,0,0
Kigoma,Kilombero,0,0,0
Kigoma,Kilosa,0,0,0
Kigoma,Kilwa,0,0,0
Kigoma,Kinondoni,0,0,0
Kigoma,Kisarawe,0,0,0
Kigoma,Kishapu,0,0,0
Kigoma,Kiteto,0,0,0
Kigoma,Kondoa,0,0,0
Kigoma,Kongwa,0,0,0
Kigoma,Korogwe,0,0,0
Kigoma,Kwimba,0,0,0
Kigoma,Kyela,0,0,0
Kigoma,Lindi Rural,0,0,0
Kigoma,Lindi Urban,0,0,0
Kigoma,Liwale,0,0,0
Kigoma,Longido,0,0,0
Kigoma,Ludewa,0,0,0
Kigoma,Lushoto,0,0,0
Kigoma,Mafia,0,0,0
Kigoma,Magu,0,0,0
Kigoma,Makete,0,0,0
Kigoma,Manyoni,0,0,0
Kigoma,Masasi,0,0,0
Kigoma,Maswa,0,0,0
Kigoma,Mbarali,0,0,0
Kigoma,Mbeya Rural,0,0,0
Kigoma,Mbinga,0,0,0
Kigoma,Mbozi,0,0,0
Kigoma,Mbulu,0,0,0
Kigoma,Meatu,0,0,0
Kigoma,Meru,0,0,0
Kigoma,Misenyi,0,0,0
Kigoma,Missungwi,0,0,0
Kigoma,Mkinga,0,0,0
Kigoma,Mkuranga,0,0,0
Kigoma,Monduli,0,0,0
Kigoma,Morogoro Rural,0,0,0
Kigoma,Morogoro Urban,0,0,0
Kigoma,Moshi Rural,0,0,0
Kigoma,Moshi Urban,0,0,0
Kigoma,Mpanda,0,0,0
Kigoma,Mpwapwa,0,0,0
Kigoma,Mtwara Rural,0,0,0
Kigoma,Mtwara Urban,0,0,0
Kigoma,Mufindi,0,0,0
Kigoma,Muheza,0,0,0
Kigoma,Muleba,0,0,0
Kigoma,Musoma Rural,0,0,0
Kigoma,Mvomero,0,0,0
Kigoma,Mwanga,0,0,0
Kigoma,Nachingwea,0,0,0
Kigoma,Namtumbo,0,0,0
Kigoma,Nanyumbu,0,0,0
Kigoma,Newala,0,0,0
Kigoma,Ngara,0,0,0
Kigoma,Ngorongoro,0,0,0
Kigoma,Njombe,0,0,0
Kigoma,Nkasi,0,0,0
Kigoma,Nyamagana,0,0,0
Kigoma,Nzega,0,0,0
Kigoma,Pangani,0,0,0
Kigoma,Rombo,0,0,0
Kigoma,Rorya,0,0,0
Kigoma,Ruangwa,0,0,0
Kigoma,Rufiji,0,0,0
Kigoma,Rungwe,0,0,0
Kigoma,Same,0,0,0
Kigoma,Sengerema,0,0,0
Kigoma,Serengeti,0,0,0
Kigoma,Shinyanga Rural,0,0,0
Kigoma,Shinyanga Urban,0,0,0
Kigoma,Siha,0,0,0
Kigoma,Sikonge,0,0,0
Kigoma,Simanjiro,0,0,0
Kigoma,Singida Rural,0,0,0
Kigoma,Singida Urban,0,0,0
Kigoma,Songea Rural,0,0,0
Kigoma,Songea Urban,0,0,0
Kigoma,Sumbawanga Rural,0,0,0
Kigoma,Sumbawanga Urban,0,0,0
Kigoma,Tabora Urban,0,0,0
Kigoma,Tandahimba,0,0,0
Kigoma,Tanga,0,0,0
Kigoma,Tarime,0,0,0
Kigoma,Temeke,0,0,0
Kigoma,Tunduru,0,0,0
Kigoma,Ukerewe,0,0,0
Kigoma,Ulanga,0,0,0
Kigoma,Urambo,0,0,0
Kigoma,Uyui,0,0,0
Kilimanjaro,Arusha Rural,0,0,0
Kilimanjaro,Arusha Urban,0,0,0
Kilimanjaro,Babati,0,0,0
Kilimanjaro,Bagamoyo,0,0,0
Kilimanjaro,Bahi,0,0,0
Kilimanjaro,Bariadi,0,0,0
Kilimanjaro,Biharamulo,0,0,0
Kilimanjaro,Bukoba Rural,0,0,0
Kilimanjaro,Bukoba Urban,0,0,0
Kilimanjaro,Bukombe,0,0,0
